seq_id,value
lcl|CU329670.1_cds_SPOM_SPAC212.10_2 [locus_tag=SPOM_SPAC212.10] [pseudo=true] [location=complement(5726..6331)] [gbkey=CDS],0.7583144625749819
"lcl|CU329670.1_cds_CAC05742.1_4 [locus_tag=SPOM_SPAC212.08C] [db_xref=EnsemblGenomes-Gn:SPAC212.08c,EnsemblGenomes-Tr:SPAC212.08c.1,GOA:Q9HGP7,PomBase:SPAC212.08c,PomBase:SPAC212.08c.1,UniProtKB/Swiss-Prot:Q9HGP7] [protein=S. pombe specific GPI anchored protein family 1] [protein_id=CAC05742.1] [location=12158..12994] [gbkey=CDS]",0.6859643867296574
"lcl|CU329670.1_cds_CBA11488.2_6 [locus_tag=SPOM_SPAC212.12] [db_xref=EnsemblGenomes-Gn:SPAC212.12,EnsemblGenomes-Gn:SPAC750.07c,EnsemblGenomes-Tr:SPAC212.12.1,EnsemblGenomes-Tr:SPAC750.07c.1,GOA:C6Y4B5,PomBase:SPAC212.12,PomBase:SPAC212.12.1,PomBase:SPAC750.07c,PomBase:SPAC750.07c.1,UniProtKB/Swiss-Prot:C6Y4B5] [protein=S. pombe specific GPI anchored protein family 1] [protein_id=CBA11488.2] [location=15855..16226] [gbkey=CDS]",0.6572615731792135
"lcl|CU329670.1_cds_CAO77631.2_7 [locus_tag=SPOM_SPAC212.06C] [db_xref=EnsemblGenomes-Gn:SPAC212.06c,EnsemblGenomes-Tr:SPAC212.06c.1,GOA:G2TRN7,InterPro:IPR027417,PomBase:SPAC212.06c,PomBase:SPAC212.06c.1,UniProtKB/Swiss-Prot:G2TRN7] [protein=DNA helicase in rearranged telomeric region, truncated] [protein_id=CAO77631.2] [location=join(18072..18306,18349..18557)] [gbkey=CDS]",0.6609678352559435
"lcl|CU329670.1_cds_CAC05738.1_9 [locus_tag=SPOM_SPAC212.04C] [db_xref=EnsemblGenomes-Gn:SPAC212.04c,EnsemblGenomes-Tr:SPAC212.04c.1,GOA:Q9HGP8,InterPro:IPR009340,PomBase:SPAC212.04c,PomBase:SPAC212.04c.1,UniProtKB/Swiss-Prot:Q9HGP8] [protein=S. pombe specific DUF999 family protein 1] [protein_id=CAC05738.1] [location=join(21587..22076,22132..22508)] [gbkey=CDS]",0.6966731478690512
"lcl|CU329670.1_cds_CAC05737.1_10 [locus_tag=SPOM_SPAC212.03] [db_xref=EnsemblGenomes-Gn:SPAC212.03,EnsemblGenomes-Tr:SPAC212.03.1,GOA:Q9HGP9,PomBase:SPAC212.03,PomBase:SPAC212.03.1,UniProtKB/Swiss-Prot:Q9HGP9] [protein=hypothetical protein] [protein_id=CAC05737.1] [location=complement(23589..23978)] [gbkey=CDS]",0.7088819883088906
"lcl|CU329670.1_cds_CAC05736.1_11 [locus_tag=SPOM_SPAC212.02] [db_xref=EnsemblGenomes-Gn:SPAC212.02,EnsemblGenomes-Tr:SPAC212.02.1,GOA:Q9HGQ0,PomBase:SPAC212.02,PomBase:SPAC212.02.1,UniProtKB/Swiss-Prot:Q9HGQ0] [protein=Schizosaccharomyces pombe specific protein] [protein_id=CAC05736.1] [location=complement(27353..27763)] [gbkey=CDS]",0.6467290746386076
"lcl|CU329670.1_cds_CAC05735.1_12 [locus_tag=SPOM_SPAC212.01C] [db_xref=GOA:P0CT98,InterPro:IPR009340,UniProtKB/Swiss-Prot:P0CT98] [protein=S. pombe specific DUF999 family protein 2] [protein_id=CAC05735.1] [location=join(28738..29227,29286..29638)] [gbkey=CDS]",0.7175745347755299
"lcl|CU329670.1_cds_CCD31307.1_14 [locus_tag=SPOM_SPAC977.18] [db_xref=EnsemblGenomes-Gn:SPAC977.18,EnsemblGenomes-Tr:SPAC977.18.1,GOA:G2TRM1,PomBase:SPAC977.18,PomBase:SPAC977.18.1,UniProtKB/Swiss-Prot:G2TRM1] [protein=conserved fungal protein] [protein_id=CCD31307.1] [location=complement(join(31327..31557,31768..31913,32163..32187))] [gbkey=CDS]",0.7122982322259563
"lcl|CU329670.1_cds_CAB69624.1_15 [gene=ftm2] [locus_tag=SPOM_SPAC977.02] [db_xref=GOA:P0CU07,InterPro:IPR018291,UniProtKB/Swiss-Prot:P0CU07] [protein=sub-telomeric 5Tm protein family Ftm2] [protein_id=CAB69624.1] [location=32230..32670] [gbkey=CDS]",0.6744275229151778
