seq_id	ENC	CAI	FOP	GC	GC3s	tAI
lcl|CP017623.1_cds_AOW25705.1_1 [locus_tag=CAALFM_C100020CA] [db_xref=CGD:CAL0000184345] [protein=hypothetical protein] [protein_id=AOW25705.1] [location=complement(4409..4720)] [gbkey=CDS]	52.666946918023484	0.431691129250589	0.21978021978021978	0.5032679738562091	0.625	0.2660509169565346
lcl|CP017623.1_cds_AOW25706.1_2 [locus_tag=CAALFM_C100030CA] [db_xref=CGD:CAL0000177679] [protein=hypothetical protein] [protein_id=AOW25706.1] [location=complement(8597..8908)] [gbkey=CDS]	52.90872818633123	0.5222403447103454	0.40594059405940597	0.48366013071895425	0.504950495049505	0.2825122832116034
lcl|CP017623.1_cds_AOW25707.1_3 [gene=CTA2] [locus_tag=CAALFM_C100040WA] [db_xref=CGD:CAL0000191731] [protein=Cta2p] [protein_id=AOW25707.1] [location=10718..11485] [gbkey=CDS]	49.190897696435655	0.5181267116232312	0.31048387096774194	0.4343832020997375	0.5365853658536586	0.2892577010117476
lcl|CP017623.1_cds_AOW25708.1_4 [gene=TUP1] [locus_tag=CAALFM_C100060WA] [db_xref=CGD:CAL0000186393] [protein=chromatin-silencing transcriptional regulator] [protein_id=AOW25708.1] [location=12163..13701] [gbkey=CDS]	47.0211843241749	0.5083955650290652	0.382	0.4866275277234181	0.596	0.30217487510187085
lcl|CP017623.1_cds_AOW25709.1_5 [gene=MVD] [locus_tag=CAALFM_C100070WA] [db_xref=CGD:CAL0000181620] [protein=diphosphomevalonate decarboxylase] [protein_id=AOW25709.1] [location=join(13778..13816,13868..14917)] [gbkey=CDS]	52.09227069233167	0.5405430933454061	0.40114613180515757	0.4856879039704525	0.5243553008595988	0.30141874458977447
lcl|CP017623.1_cds_AOW25710.1_6 [gene=RCA1] [locus_tag=CAALFM_C100080CA] [db_xref=CGD:CAL0000191329] [protein=Rca1p] [protein_id=AOW25710.1] [location=complement(14910..15761)] [gbkey=CDS]	50.95347782864319	0.5358401187651347	0.41304347826086957	0.45508274231678486	0.44565217391304346	0.2969446243435873
lcl|CP017623.1_cds_AOW25711.1_7 [locus_tag=CAALFM_C100090WA] [db_xref=CGD:CAL0000185968] [protein=hypothetical protein] [protein_id=AOW25711.1] [location=15595..16116] [gbkey=CDS]	52.53102081078609	0.4922316344164908	0.32919254658385094	0.45155038759689925	0.5279503105590062	0.29626632189933966
lcl|CP017623.1_cds_AOW25712.1_8 [locus_tag=CAALFM_C100100CA] [db_xref=CGD:CAL0000197186] [protein=cardiolipin synthase] [protein_id=AOW25712.1] [location=complement(16600..17328)] [gbkey=CDS]	47.63460022541343	0.5081759700386296	0.34913793103448276	0.44398340248962653	0.5238095238095238	0.2764511129380454
lcl|CP017623.1_cds_AOW25713.1_9 [gene=CCT8] [locus_tag=CAALFM_C100110WA] [db_xref=CGD:CAL0000175759] [protein=chaperonin-containing T-complex subunit] [protein_id=AOW25713.1] [location=17338..18960] [gbkey=CDS]	50.533107975410175	0.5523730747870298	0.4144486692015209	0.4650587507730365	0.5114068441064639	0.3098244233224588
lcl|CP017623.1_cds_AOW25714.1_10 [gene=TRP1] [locus_tag=CAALFM_C100120CA] [db_xref=CGD:CAL0000186853] [protein=phosphoribosylanthranilate isomerase] [protein_id=AOW25714.1] [location=complement(18948..19628)] [gbkey=CDS]	51.95816273173059	0.5483804596615294	0.40540540540540543	0.44592592592592595	0.41363636363636364	0.2840746037191232
lcl|CP017623.1_cds_AOW25715.1_11 [gene=VPS53] [locus_tag=CAALFM_C100130CA] [db_xref=CGD:CAL0000194290] [protein=Vps53p] [protein_id=AOW25715.1] [location=complement(19615..21714)] [gbkey=CDS]	48.21342760297472	0.5054579049626051	0.3284241531664212	0.4159503342884432	0.5790251107828656	0.2714727898345418
lcl|CP017623.1_cds_AOW25716.1_12 [gene=KEL1] [locus_tag=CAALFM_C100140WA] [db_xref=CGD:CAL0000190815] [protein=Kel1p] [protein_id=AOW25716.1] [location=22270..25326] [gbkey=CDS]	51.960828226655075	0.6100200520308535	0.49147442326980945	0.42740085217961327	0.4199395770392749	0.29180338132819017
lcl|CP017623.1_cds_AOW25717.1_13 [gene=RIM8] [locus_tag=CAALFM_C100150CA] [db_xref=CGD:CAL0000197201] [protein=Rim8p] [protein_id=AOW25717.1] [location=complement(25381..27249)] [gbkey=CDS]	54.540598983381386	0.577200031458975	0.4431818181818182	0.41867954911433175	0.3983606557377049	0.2848453599238056
lcl|CP017623.1_cds_AOW25718.1_14 [locus_tag=CAALFM_C100160CA] [db_xref=CGD:CAL0000200313] [protein=hypothetical protein] [protein_id=AOW25718.1] [location=complement(28286..29488)] [gbkey=CDS]	42.10298262815309	0.7039495588484053	0.6844783715012722	0.4101921470342523	0.2951653944020356	0.32990638635155756
lcl|CP017623.1_cds_AOW25719.1_15 [gene=LEU4] [locus_tag=CAALFM_C100170WA] [db_xref=CGD:CAL0000186267] [protein=2-isopropylmalate synthase] [protein_id=AOW25719.1] [location=29804..31543] [gbkey=CDS]	47.53884801920552	0.683341988721809	0.5939716312056738	0.408881199538639	0.33747779751332146	0.3090615715436584
lcl|CP017623.1_cds_AOW25720.1_16 [gene=RPL16A] [locus_tag=CAALFM_C100180WA] [db_xref=CGD:CAL0000175593] [protein=ribosomal 60S subunit protein L16A] [protein_id=AOW25720.1] [location=31842..32444] [gbkey=CDS]	41.79801046015045	0.7363314600029043	0.6649746192893401	0.3869346733668342	0.3350253807106599	0.3456631553537319
lcl|CP017623.1_cds_AOW25721.1_17 [locus_tag=CAALFM_C100190CA] [db_xref=CGD:CAL0000186780] [protein=hypothetical protein] [protein_id=AOW25721.1] [location=complement(32680..33318)] [gbkey=CDS]	54.45467944128747	0.6101127790400177	0.47596153846153844	0.3570300157977883	0.3942307692307692	0.27485494433812735
lcl|CP017623.1_cds_AOW25722.1_18 [locus_tag=CAALFM_C100200CA] [db_xref=CGD:CAL0000183783] [protein=hypothetical protein] [protein_id=AOW25722.1] [location=complement(34099..34446)] [gbkey=CDS]	53.829288600001114	0.6307052121628126	0.4778761061946903	0.31871345029239767	0.36936936936936937	0.26905992606677953
lcl|CP017623.1_cds_AOW25723.1_19 [locus_tag=CAALFM_C100210CA] [db_xref=CGD:CAL0000182274] [protein=hypothetical protein] [protein_id=AOW25723.1] [location=complement(34525..35679)] [gbkey=CDS]	52.62228558383828	0.6675962702167983	0.5376344086021505	0.3838120104438642	0.3521505376344086	0.29293438978705655
